bstart,bend,receptor,protein,site,library,experiment,pdb
45254,45488,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,EN,42,4I7G
45489,45723,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,EN,42,4I7G
45724,45755,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,NF,43,4I7G
45756,45787,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,NF,43,4I7G
45788,45889,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,CB,44,4I7G
45890,45991,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,CB,44,4I7G
45992,46042,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,AS,45,4I7G
46043,46093,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,AS,45,4I7G
46094,46244,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,VM,46,4I7G
46245,46395,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,VM,46,4I7G
46396,46427,x3AO1_IN_FBP.pdbqt,IN,FBP,NF,47,3AO1
46428,46459,x3AO2_IN_FBP.pdbqt,IN,FBP,NF,47,3AO2
46460,46491,x3NF8_B_IN_FBP.pdbqt,IN,FBP,NF,47,3NF8
46492,46523,x3VQ4_IN_FBP.pdbqt,IN,FBP,NF,47,3VQ4
46524,46555,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,NF,47,3VQ5
46556,46587,x3VQ7_IN_FBP.pdbqt,IN,FBP,NF,47,3VQ7
46588,46619,x3VQA_IN_FBP.pdbqt,IN,FBP,NF,47,3VQA
46620,46651,x3VQD_IN_FBP.pdbqt,IN,FBP,NF,47,3VQD
46652,46683,x3VQE_A_IN_FBP.pdbqt,IN,FBP,NF,47,3VQE
46684,46715,x4AHR_A_IN_FBP.pdbqt,IN,FBP,NF,47,4AHR
46716,46747,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3NF6
46748,46779,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3NF8
46780,46811,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3VQ8
46812,46843,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZCM
46844,46875,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZSO
46876,46907,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZSW
46908,46939,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT1
46940,46971,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT2
46972,47003,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT3
47004,47035,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT4
47036,47067,x3NF6_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF6
47068,47099,x3NF6_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF6
47100,47131,x3NF7_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF7
47132,47163,x3NF7_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF7
47164,47195,x3NF8_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF8
47196,47227,x3NF8_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF8
47228,47259,x3NF9_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF9
47260,47291,x3NF9_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF9
47292,47323,x3NFA_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NFA
47324,47355,x3NFA_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NFA
47356,47590,x3AO1_IN_FBP.pdbqt,IN,FBP,EN,48,3AO1
47591,47825,x3AO2_IN_FBP.pdbqt,IN,FBP,EN,48,3AO2
47826,48060,x3NF8_B_IN_FBP.pdbqt,IN,FBP,EN,48,3NF8
48061,48295,x3VQ4_IN_FBP.pdbqt,IN,FBP,EN,48,3VQ4
48296,48530,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,EN,48,3VQ5
48531,48765,x3VQ7_IN_FBP.pdbqt,IN,FBP,EN,48,3VQ7
48766,49000,x3VQA_IN_FBP.pdbqt,IN,FBP,EN,48,3VQA
49001,49235,x3VQD_IN_FBP.pdbqt,IN,FBP,EN,48,3VQD
49236,49470,x3VQE_A_IN_FBP.pdbqt,IN,FBP,EN,48,3VQE
49471,49705,x4AHR_A_IN_FBP.pdbqt,IN,FBP,EN,48,4AHR
49706,49940,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3NF6
49941,50175,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3NF8
50176,50410,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3VQ8
50411,50645,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZCM
50646,50880,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZSO
50881,51115,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZSW
51116,51350,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT1
51351,51585,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT2
51586,51820,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT3
51821,52055,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT4
52056,52290,x3NF6_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF6
52291,52525,x3NF6_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF6
52526,52760,x3NF7_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF7
52761,52995,x3NF7_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF7
52996,53230,x3NF8_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF8
53231,53465,x3NF8_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF8
53466,53700,x3NF9_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF9
53701,53935,x3NF9_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF9
53936,54170,x3NFA_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NFA
54171,54405,x3NFA_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NFA
54406,54507,x3AO1_IN_FBP.pdbqt,IN,FBP,CB,49,3AO1
54508,54609,x3AO2_IN_FBP.pdbqt,IN,FBP,CB,49,3AO2
54610,54711,x3NF8_B_IN_FBP.pdbqt,IN,FBP,CB,49,3NF8
54712,54813,x3VQ4_IN_FBP.pdbqt,IN,FBP,CB,49,3VQ4
54814,54915,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,CB,49,3VQ5
54916,55017,x3VQ7_IN_FBP.pdbqt,IN,FBP,CB,49,3VQ7
55018,55119,x3VQA_IN_FBP.pdbqt,IN,FBP,CB,49,3VQA
55120,55221,x3VQD_IN_FBP.pdbqt,IN,FBP,CB,49,3VQD
55222,55323,x3VQE_A_IN_FBP.pdbqt,IN,FBP,CB,49,3VQE
55324,55425,x4AHR_A_IN_FBP.pdbqt,IN,FBP,CB,49,4AHR
55426,55527,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3NF6
55528,55629,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3NF8
55630,55731,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3VQ8
55732,55833,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZCM
55834,55935,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZSO
55936,56037,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZSW
56038,56139,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZT1
56140,56241,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZT2
56242,56343,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZT3
56344,56445,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZT4
56446,56547,x3NF6_A_IN_Y3.pdbqt,IN,Y3,CB,49,3NF6
56548,56649,x3NF6_B_IN_Y3.pdbqt,IN,Y3,CB,49,3NF6
56650,56751,x3NF7_A_IN_Y3.pdbqt,IN,Y3,CB,49,3NF7
56752,56853,x3NF7_B_IN_Y3.pdbqt,IN,Y3,CB,49,3NF7
56854,56955,x3NF8_A_IN_Y3.pdbqt,IN,Y3,CB,49,3NF8
56956,57057,x3NF8_B_IN_Y3.pdbqt,IN,Y3,CB,49,3NF8
57058,57159,x3NF9_A_IN_Y3.pdbqt,IN,Y3,CB,49,3NF9
57160,57261,x3NF9_B_IN_Y3.pdbqt,IN,Y3,CB,49,3NF9
57262,57363,x3NFA_A_IN_Y3.pdbqt,IN,Y3,CB,49,3NFA
57364,57465,x3NFA_B_IN_Y3.pdbqt,IN,Y3,CB,49,3NFA
57466,57516,x3AO1_IN_FBP.pdbqt,IN,FBP,AS,50,3AO1
57517,57567,x3AO2_IN_FBP.pdbqt,IN,FBP,AS,50,3AO2
57568,57618,x3NF8_B_IN_FBP.pdbqt,IN,FBP,AS,50,3NF8
57619,57669,x3VQ4_IN_FBP.pdbqt,IN,FBP,AS,50,3VQ4
57670,57720,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,AS,50,3VQ5
57721,57771,x3VQ7_IN_FBP.pdbqt,IN,FBP,AS,50,3VQ7
57772,57822,x3VQA_IN_FBP.pdbqt,IN,FBP,AS,50,3VQA
57823,57873,x3VQD_IN_FBP.pdbqt,IN,FBP,AS,50,3VQD
57874,57924,x3VQE_A_IN_FBP.pdbqt,IN,FBP,AS,50,3VQE
57925,57975,x4AHR_A_IN_FBP.pdbqt,IN,FBP,AS,50,4AHR
57976,58026,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3NF6
58027,58077,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3NF8
58078,58128,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3VQ8
58129,58179,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZCM
58180,58230,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZSO
58231,58281,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZSW
58282,58332,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZT1
58333,58383,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZT2
58384,58434,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZT3
58435,58485,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,AS,50,3ZT4
58486,58536,x3NF6_A_IN_Y3.pdbqt,IN,Y3,AS,50,3NF6
58537,58587,x3NF6_B_IN_Y3.pdbqt,IN,Y3,AS,50,3NF6
58588,58638,x3NF7_A_IN_Y3.pdbqt,IN,Y3,AS,50,3NF7
58639,58689,x3NF7_B_IN_Y3.pdbqt,IN,Y3,AS,50,3NF7
58690,58740,x3NF8_A_IN_Y3.pdbqt,IN,Y3,AS,50,3NF8
58741,58791,x3NF8_B_IN_Y3.pdbqt,IN,Y3,AS,50,3NF8
58792,58842,x3NF9_A_IN_Y3.pdbqt,IN,Y3,AS,50,3NF9
58843,58893,x3NF9_B_IN_Y3.pdbqt,IN,Y3,AS,50,3NF9
58894,58944,x3NFA_A_IN_Y3.pdbqt,IN,Y3,AS,50,3NFA
58945,58995,x3NFA_B_IN_Y3.pdbqt,IN,Y3,AS,50,3NFA
58996,59146,x3AO1_IN_FBP.pdbqt,IN,FBP,VM,51,3AO1
59147,59297,x3AO2_IN_FBP.pdbqt,IN,FBP,VM,51,3AO2
59298,59448,x3NF8_B_IN_FBP.pdbqt,IN,FBP,VM,51,3NF8
59449,59599,x3VQ4_IN_FBP.pdbqt,IN,FBP,VM,51,3VQ4
59600,59750,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,VM,51,3VQ5
59751,59901,x3VQ7_IN_FBP.pdbqt,IN,FBP,VM,51,3VQ7
59902,60052,x3VQA_IN_FBP.pdbqt,IN,FBP,VM,51,3VQA
60053,60203,x3VQD_IN_FBP.pdbqt,IN,FBP,VM,51,3VQD
60204,60354,x3VQE_A_IN_FBP.pdbqt,IN,FBP,VM,51,3VQE
60355,60505,x4AHR_A_IN_FBP.pdbqt,IN,FBP,VM,51,4AHR
60506,60656,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3NF6
60657,60807,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3NF8
60808,60958,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3VQ8
60959,61109,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZCM
61110,61260,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZSO
61261,61411,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZSW
61412,61562,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZT1
61563,61713,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZT2
61714,61864,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZT3
61865,62015,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,VM,51,3ZT4
62016,62166,x3NF6_A_IN_Y3.pdbqt,IN,Y3,VM,51,3NF6
62167,62317,x3NF6_B_IN_Y3.pdbqt,IN,Y3,VM,51,3NF6
62318,62468,x3NF7_A_IN_Y3.pdbqt,IN,Y3,VM,51,3NF7
62469,62619,x3NF7_B_IN_Y3.pdbqt,IN,Y3,VM,51,3NF7
62620,62770,x3NF8_A_IN_Y3.pdbqt,IN,Y3,VM,51,3NF8
62771,62921,x3NF8_B_IN_Y3.pdbqt,IN,Y3,VM,51,3NF8
62922,63072,x3NF9_A_IN_Y3.pdbqt,IN,Y3,VM,51,3NF9
63073,63223,x3NF9_B_IN_Y3.pdbqt,IN,Y3,VM,51,3NF9
63224,63374,x3NFA_A_IN_Y3.pdbqt,IN,Y3,VM,51,3NFA
63375,63525,x3NFA_B_IN_Y3.pdbqt,IN,Y3,VM,51,3NFA
63526,63557,x0_900762_holo_uc1_frame_963_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63558,63589,x0_901217_holo_apa_frame_1633_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63590,63621,x0_908908_holo_apa_frame_1598_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63622,63653,x0_909195_holo_apa_frame_1693_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63654,63685,x0_920859_holo_apa_frame_1649_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63686,63717,x0_922788_holo_uc1_frame_455_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63718,63749,x0_923124_holo_uc1_frame_1241_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63750,63781,x0_950626_holo_uc1_frame_1198_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRT
63782,63813,x1VRU_AAP1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRU
63814,63845,x1VRU_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,1VRU
63846,63877,x2ZD1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,2ZD1
63878,63909,x4ICL_A_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,4ICL
63910,63941,x4ICL_A_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,4ICL
63942,63973,x4KFB_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,4KFB
63974,64005,x4KFB_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,NF,52,4KFB
64006,64240,x0_900762_holo_uc1_frame_963_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
64241,64475,x0_901217_holo_apa_frame_1633_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
64476,64710,x0_908908_holo_apa_frame_1598_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
64711,64945,x0_909195_holo_apa_frame_1693_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
64946,65180,x0_920859_holo_apa_frame_1649_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
65181,65415,x0_922788_holo_uc1_frame_455_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
65416,65650,x0_923124_holo_uc1_frame_1241_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
65651,65885,x0_950626_holo_uc1_frame_1198_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRT
65886,66120,x1VRU_AAP1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRU
66121,66355,x1VRU_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,1VRU
66356,66590,x2ZD1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,2ZD1
66591,66825,x4ICL_A_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,4ICL
66826,67060,x4ICL_A_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,4ICL
67061,67295,x4KFB_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,4KFB
67296,67530,x4KFB_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,EN,53,4KFB
67531,67632,x0_900762_holo_uc1_frame_963_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
67633,67734,x0_901217_holo_apa_frame_1633_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
67735,67836,x0_908908_holo_apa_frame_1598_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
67837,67938,x0_909195_holo_apa_frame_1693_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
67939,68040,x0_920859_holo_apa_frame_1649_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
68041,68142,x0_922788_holo_uc1_frame_455_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
68143,68244,x0_923124_holo_uc1_frame_1241_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
68245,68346,x0_950626_holo_uc1_frame_1198_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRT
68347,68448,x1VRU_AAP1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRU
68449,68550,x1VRU_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,1VRU
68551,68652,x2ZD1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,2ZD1
68653,68754,x4ICL_A_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,4ICL
68755,68856,x4ICL_A_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,4ICL
68857,68958,x4KFB_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,4KFB
68959,69060,x4KFB_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,CB,54,4KFB
69061,69111,x0_900762_holo_uc1_frame_963_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69112,69162,x0_901217_holo_apa_frame_1633_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69163,69213,x0_908908_holo_apa_frame_1598_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69214,69264,x0_909195_holo_apa_frame_1693_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69265,69315,x0_920859_holo_apa_frame_1649_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69316,69366,x0_922788_holo_uc1_frame_455_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69367,69417,x0_923124_holo_uc1_frame_1241_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69418,69468,x0_950626_holo_uc1_frame_1198_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRT
69469,69519,x1VRU_AAP1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRU
69520,69570,x1VRU_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,1VRU
69571,69621,x2ZD1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,2ZD1
69622,69672,x4ICL_A_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,4ICL
69673,69723,x4ICL_A_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,4ICL
69724,69774,x4KFB_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,4KFB
69775,69825,x4KFB_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,AS,55,4KFB
69826,69976,x0_900762_holo_uc1_frame_963_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
69977,70127,x0_901217_holo_apa_frame_1633_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
70128,70278,x0_908908_holo_apa_frame_1598_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
70279,70429,x0_909195_holo_apa_frame_1693_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
70430,70580,x0_920859_holo_apa_frame_1649_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
70581,70731,x0_922788_holo_uc1_frame_455_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
70732,70882,x0_923124_holo_uc1_frame_1241_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
70883,71033,x0_950626_holo_uc1_frame_1198_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRT
71034,71184,x1VRU_AAP1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRU
71185,71335,x1VRU_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,1VRU
71336,71486,x2ZD1_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,2ZD1
71487,71637,x4ICL_A_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,4ICL
71638,71788,x4ICL_A_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,4ICL
71789,71939,x4KFB_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,4KFB
71940,72090,x4KFB_T27_RT_INuB_KNUCnINuB.pdbqt,RT,InuB,VM,56,4KFB
72091,72122,x0_904325_holo_apa_frame_1701_KNUC_KNUConly.pdbqt,RT,KNUC,NF,57,1VRT
72123,72154,x0_913697_holo_apa_frame_1702_KNUC_KNUConly.pdbqt,RT,KNUC,NF,57,1VRT
72155,72186,x1FK9_EFZ1_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,NF,57,1FK9
72187,72218,x1FK9_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,NF,57,1FK9
72219,72250,x4IFY_A_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,NF,57,4IFY
72251,72282,x4IFY_A_RT_KNUC_KNUConly.pdbqt,RT,KNUC,NF,57,4IFY
72283,72314,x4IFY_A_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,NF,57,4IFY
72315,72346,x4KFB_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,NF,57,4KFB
72347,72378,x4KFB_RT_KNUC_KNUConly.pdbqt,RT,KNUC,NF,57,4KFB
72379,72410,x4KFB_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,NF,57,4KFB
72411,72645,x0_904325_holo_apa_frame_1701_KNUC_KNUConly.pdbqt,RT,KNUC,EN,58,1VRT
72646,72880,x0_913697_holo_apa_frame_1702_KNUC_KNUConly.pdbqt,RT,KNUC,EN,58,1VRT
72881,73115,x1FK9_EFZ1_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,EN,58,1FK9
73116,73350,x1FK9_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,EN,58,1FK9
73351,73585,x4IFY_A_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,EN,58,4IFY
73586,73820,x4IFY_A_RT_KNUC_KNUConly.pdbqt,RT,KNUC,EN,58,4IFY
73821,74055,x4IFY_A_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,EN,58,4IFY
74056,74290,x4KFB_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,EN,58,4KFB
74291,74525,x4KFB_RT_KNUC_KNUConly.pdbqt,RT,KNUC,EN,58,4KFB
74526,74760,x4KFB_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,EN,58,4KFB
74761,74862,x0_904325_holo_apa_frame_1701_KNUC_KNUConly.pdbqt,RT,KNUC,CB,59,1VRT
74863,74964,x0_913697_holo_apa_frame_1702_KNUC_KNUConly.pdbqt,RT,KNUC,CB,59,1VRT
74965,75066,x1FK9_EFZ1_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,CB,59,1FK9
75067,75168,x1FK9_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,CB,59,1FK9
75169,75270,x4IFY_A_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,CB,59,4IFY
75271,75372,x4IFY_A_RT_KNUC_KNUConly.pdbqt,RT,KNUC,CB,59,4IFY
75373,75474,x4IFY_A_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,CB,59,4IFY
75475,75576,x4KFB_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,CB,59,4KFB
75577,75678,x4KFB_RT_KNUC_KNUConly.pdbqt,RT,KNUC,CB,59,4KFB
75679,75780,x4KFB_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,CB,59,4KFB
75781,75831,x0_904325_holo_apa_frame_1701_KNUC_KNUConly.pdbqt,RT,KNUC,AS,60,1VRT
75832,75882,x0_913697_holo_apa_frame_1702_KNUC_KNUConly.pdbqt,RT,KNUC,AS,60,1VRT
75883,75933,x1FK9_EFZ1_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,AS,60,1FK9
75934,75984,x1FK9_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,AS,60,1FK9
75985,76035,x4IFY_A_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,AS,60,4IFY
76036,76086,x4IFY_A_RT_KNUC_KNUConly.pdbqt,RT,KNUC,AS,60,4IFY
76087,76137,x4IFY_A_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,AS,60,4IFY
76138,76188,x4KFB_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,AS,60,4KFB
76189,76239,x4KFB_RT_KNUC_KNUConly.pdbqt,RT,KNUC,AS,60,4KFB
76240,76290,x4KFB_T27_RT_KNUC_KNUCnINuB.pdbqt,RT,KNUC,AS,60,4KFB
76291,76441,x0_904325_holo_apa_frame_1701_KNUC_KNUConly.pdbqt,RT,KNUC,VM,61,1VRT
